compressor	dataset	task	artifact_bytes	read_secs	load_secs	analyze_secs	events	resident_bytes	rows	attributed	total_gpu_refs	fraction	peak_rss_kb
padoc	qwen3_full	layer_compute_comm_overlap	287737929	0.1304	13.0221	5.5972	33813574	2039379704	312106	1592830	1806096	0.881919	4707984
raw_json	qwen3_full	layer_compute_comm_overlap	5432657358	2.4944	86.3636	34.4043	33813574	18868483465	911826	1797887	1806096	0.995455	85926196
gzip_json	qwen3_full	layer_compute_comm_overlap	400086361	0.1951	103.0108	26.0957	33813574	18868483465	911826	1797887	1806096	0.995455	86233492
scalatrace	qwen3_full	layer_compute_comm_overlap	208966859	0.1043	21.5054	26.6026	33813574	14697096265	911826	1797887	1806096	0.995455	25727084
tracezip	qwen3_full	layer_compute_comm_overlap	279171695	0.1228	23.2143	31.2411	33813574	14697096265	912022	1797887	1806096	0.995455	25729176
