dataset	template_id	template_kind	column	name_pattern	original_len	sampled_len	truncated	current_encoding	current_mem_bytes_est	i64_mem_bytes	i32_applicable	i32_mem_bytes	constant	constant_mem_bytes	slp_i8_mem_bytes	slp_i8_segments	slp_i8_avg_segment_len	slp_i8_max_abs_residual	slp_i8_msgpack_bytes	slp_i8_zstd_bytes	slp_i8_encode_secs	slp_i8_decode_ok	slp_i16_mem_bytes	slp_i16_segments	slp_i16_avg_segment_len	slp_i16_max_abs_residual	slp_i16_msgpack_bytes	slp_i16_zstd_bytes	slp_i16_encode_secs	slp_i16_decode_ok	best_slp	best_slp_mem_bytes	best_slp_ratio_vs_i64	best_slp_ratio_vs_i32	accepted_vs_i64_gt_2	beats_i32	i64_msgpack_bytes	i64_zstd_bytes	i32_msgpack_bytes	i32_zstd_bytes
leworldmodel_full	477	cpu	dur	copy.py(0): <genexpr>	10622	10622	false	i32	42488	84976	true	42488	false	0	10710	1	10622.0	69	10703	855	0.00020816	true	21332	1	10622.0	74	10704	784	0.000209606	true	slp_i8	10710	7.934267040149393	3.9671335200746967	true	true	10625	505	10625	505
leworldmodel_full	3851	cpu	ts	ac0g	10308	10308	false	i32	41232	82464	true	41232	false	0	15580	217	47.50230414746544	127	19583	13147	0.000217692	true	21376	29	355.44827586206895	32599	31320	24736	0.000201978	true	slp_i8	15580	5.292939666238768	2.646469833119384	true	true	51543	36830	51543	36830
leworldmodel_full	38	cpu	ts	sre_parse.py(0): get	10271	10271	false	i32	41084	82168	true	41084	false	0	11391	44	233.4318181818182	127	15666	6969	0.00020392	true	20870	11	933.7272727272727	32713	30796	23632	0.000199203	true	slp_i8	11391	7.213414098849969	3.6067070494249847	true	true	50238	6971	50238	6971
leworldmodel_full	38	cpu	dur	sre_parse.py(0): get	10271	10271	false	i32	41084	82168	true	41084	false	0	10359	1	10271.0	1	10352	160	0.000201286	true	20630	1	10271.0	1	10349	157	0.000205062	true	slp_i8	10359	7.932039772178782	3.966019886089391	true	true	10274	85	10274	85
leworldmodel_full	419	cpu	ts	omegaconf/_utils.py(0): _is_missing_literal	10126	10126	false	i32	40504	81008	true	40504	false	0	17126	289	35.03806228373703	127	22955	14027	0.000218203	true	20676	15	675.0666666666667	25343	30425	23140	0.000195353	true	slp_i8	17126	4.730117949316829	2.3650589746584143	true	true	45881	33201	45881	33201
leworldmodel_full	419	cpu	dur	omegaconf/_utils.py(0): _is_missing_literal	10126	10126	false	i32	40504	81008	true	40504	false	0	10214	1	10126.0	3	10203	208	0.000191262	true	20340	1	10126.0	3	10204	209	0.000194411	true	slp_i8	10214	7.931074995104758	3.965537497552379	true	true	10129	136	10129	136
leworldmodel_full	3899	cpu	ts	<built-in method items of dict object at 0x0f0a0>	9946	9946	false	i32	39784	79568	true	39784	false	0	15314	221	45.00452488687783	127	20035	12697	0.00020993	true	20172	9	1105.111111111111	32762	30101	24115	0.000195124	true	slp_i8	15314	5.1957685777719735	2.5978842888859868	true	true	48460	34176	48460	34176
leworldmodel_full	3899	cpu	dur	<built-in method items of dict object at 0x0f0a0>	9946	9946	false	i32	39784	79568	true	39784	false	0	10034	1	9946.0	55	10023	149	0.000188076	true	19980	1	9946.0	55	10024	150	0.000190931	true	slp_i8	10034	7.929838548933626	3.964919274466813	true	true	9949	79	9949	79
leworldmodel_full	418	cpu	ts	omegaconf/_utils.py(0): _is_missing_value	9558	9558	false	i32	38232	76464	true	38232	false	0	16558	289	33.07266435986159	127	22283	13532	0.000206705	true	19540	15	637.2	25084	28755	21921	0.000185738	true	slp_i8	16558	4.617949027660345	2.3089745138301727	true	true	43129	31278	43129	31278
leworldmodel_full	418	cpu	dur	omegaconf/_utils.py(0): _is_missing_value	9558	9558	false	i32	38232	76464	true	38232	false	0	9646	1	9558.0	13	9639	2024	0.000187879	true	19204	1	9558.0	15	9640	1988	0.000200981	true	slp_i8	9646	7.9270163798465685	3.9635081899232842	true	true	9561	1775	9561	1775
leworldmodel_full	727	cpu	ts	antlr0/IntervalSet.py(0): <genexpr>	9232	9232	false	i32	36928	73856	true	36928	false	0	11216	80	115.4	127	14567	9952	0.000188323	true	18624	4	2308.0	29807	27628	22733	0.000179612	true	slp_i8	11216	6.584878744650499	3.2924393723252496	true	true	42475	6019	42475	6019
leworldmodel_full	727	cpu	dur	antlr0/IntervalSet.py(0): <genexpr>	9232	9232	false	i32	36928	73856	true	36928	false	0	9320	1	9232.0	2	9313	164	0.000177342	true	18552	1	9232.0	2	9310	161	0.0001751	true	slp_i8	9320	7.924463519313305	3.9622317596566523	true	true	9235	89	9235	89
leworldmodel_full	988	cpu	ts	yaml/reader.py(0): forward	9216	9216	false	i32	36864	73728	true	36864	false	0	10600	55	167.56363636363636	127	13791	9008	0.000184335	true	18544	2	4608.0	22892	27662	21742	0.000178331	true	slp_i8	10600	6.955471698113207	3.4777358490566037	true	true	36867	12273	36867	12273
leworldmodel_full	988	cpu	dur	yaml/reader.py(0): forward	9216	9216	false	i32	36864	73728	true	36864	false	0	9304	1	9216.0	14	9297	1063	0.000182213	true	18520	1	9216.0	18	9298	1225	0.00018586	true	slp_i8	9304	7.924333619948409	3.9621668099742045	true	true	9219	591	9219	591
leworldmodel_full	1746	cpu	ts	<built-in function unpack>	9010	9010	false	i32	36040	72080	true	36040	false	0	10754	70	128.71428571428572	127	14234	8812	0.000184096	true	18108	1	9010.0	19505	26951	17717	0.000172502	true	slp_i8	10754	6.70262228008183	3.351311140040915	true	true	45053	25945	45053	25945
leworldmodel_full	1746	cpu	dur	<built-in function unpack>	9010	9010	false	i32	36040	72080	true	36040	false	0	9098	1	9010.0	14	9091	155	0.000174507	true	18108	1	9010.0	14	9092	157	0.000174696	true	slp_i8	9098	7.922620356122224	3.961310178061112	true	true	9013	75	9013	75
leworldmodel_full	431	cpu	ts	<built-in function next>	8579	8579	false	i32	34316	68632	true	34316	false	0	15531	287	29.89198606271777	127	20714	12352	0.000189221	true	17558	14	612.7857142857143	22092	26128	19213	0.000164976	true	slp_i8	15531	4.419032901938059	2.2095164509690295	true	true	38168	28071	38168	28071
