compressor	dataset	task	read_secs	decompress_secs	analyze_secs	total_secs	bytes_on_disk	peak_rss_kb
scalatrace	unifolm_full	layer_compute_comm_overlap	0.1515	56.1289	45.1095	101.3899	290357765	74885628
scalatrace	unifolm_full	gpu_bubble_rate	0.1515	56.1289	1.3016	57.5820	290357765	74885628
tracezip	unifolm_full	operator_hotspot	0.2341	55.5393	33.6853	89.4587	508612748	76485076
tracezip	unifolm_full	rank_load_balance	0.2341	55.5393	1.3973	57.1707	508612748	76485076
tracezip	unifolm_full	layer_compute_comm_overlap	0.2341	55.5393	56.1765	111.9499	508612748	76485076
tracezip	unifolm_full	gpu_bubble_rate	0.2341	55.5393	1.1938	56.9672	508612748	76485076
padoc	llama_full	operator_hotspot	1.5501	110.3151	0.0813	111.9464	2614795618	30817100
padoc	llama_full	rank_load_balance	1.5501	110.3151	1.7144	113.5795	2614795618	30817100
padoc	llama_full	layer_compute_comm_overlap	1.5501	110.3151	49.5792	161.4443	2614795618	30817100
padoc	llama_full	gpu_bubble_rate	1.5501	110.3151	2.7247	114.5898	2614795618	30817100
scalatrace	llama_full	operator_hotspot	1.0697	218.6429	86.3968	306.1094	2136488816	227348664
scalatrace	llama_full	rank_load_balance	1.0697	218.6429	9.3012	229.0138	2136488816	227348664
scalatrace	llama_full	layer_compute_comm_overlap	1.0697	218.6429	192.9145	412.6271	2136488816	232521784
scalatrace	llama_full	gpu_bubble_rate	1.0697	218.6429	5.7581	225.4706	2136488816	232521784
tracezip	llama_full	operator_hotspot	1.1900	250.9677	85.4817	337.6395	2644857324	229328108
tracezip	llama_full	rank_load_balance	1.1900	250.9677	8.5159	260.6736	2644857324	229328108
tracezip	llama_full	layer_compute_comm_overlap	1.1900	250.9677	187.3449	439.5026	2644857324	232523592
tracezip	llama_full	gpu_bubble_rate	1.1900	250.9677	5.5059	257.6636	2644857324	232523592
